time_sec,valence,energy,tension,warmth,power,complexity
0,0.5129525537426542,0.35557003910558505,0.5,0.4684776067615254,0.36453137446121986,0.9111400782111703
1,0.5280938372302132,0.4368002699336109,0.48782663152582634,0.5643676493271665,0.5481840802246128,0.8257421305812334
2,0.5642589597876221,0.3826541715127961,0.5428931070454486,0.6694310393843601,0.5098567051728113,0.47918425435960066
3,0.6606528793806401,0.2700483766935839,0.4346169725085349,0.7619992090838396,0.46414852660564876,0.38410956552877934
4,0.6431611615898996,0.285612587717727,0.42359043675568464,0.7629600217189529,0.48092337159894993,0.5258322419202066
5,0.5401373188114924,0.41091595863385333,0.42571557991074294,0.5394231332189742,0.5765879305481951,0.704869851792632
6,0.6889781195570832,0.36985404490947404,0.39956840977548197,0.7213393119267019,0.529949058358546,0.5651433914175895
7,0.7018408359858476,0.3683135332081445,0.5088680537240697,0.7576776764593578,0.49350993749039845,0.3333361650016173
8,0.8576608826954641,0.26457635200517104,0.33288744576911333,0.8233589945227971,0.5193638361986047,0.37859091256902916
9,0.3972496175454284,0.5015987002387043,0.6133184781062628,0.48850005632277593,0.6337299492078732,0.6114335358158112
10,0.6996233708385757,0.401552762331335,0.39809653709922366,0.7632053226192996,0.5822885746029923,0.5420101583176048
11,0.6394050086264378,0.35795257117055945,0.5179663940882475,0.7733899762777213,0.519173907705589,0.3753125108115558
12,0.6615252485345631,0.35154333456562614,0.43165888072699216,0.7412040774777913,0.5318960991143312,0.37526350019106364
13,0.6394984279820762,0.34937887882214186,0.3707349424508878,0.6918811103512088,0.5527867483640188,0.5079504820073563
14,0.6433309244610552,0.35233790084674654,0.42402488727079574,0.673788706832738,0.5268963643854546,0.6325739443489764
15,0.5769994861303187,0.3315754810514584,0.5782763659095603,0.7141747647082645,0.5014313139439249,0.21478041866894024
16,0.8641840667962244,0.34088340583569776,0.3065667229048972,0.8221494816003687,0.517738674296889,0.3578927492090986
17,0.5773228644823077,0.4231618963080139,0.46196111699721354,0.5886985935986554,0.5753554308999491,0.5490008836806132
18,0.6311902727781122,0.5361434112616267,0.584974197500225,0.645404871869916,0.5634107267580553,0.6522312953838121
19,0.498256803756282,0.6412537952703249,0.5141081392626404,0.46197177086918767,0.6769475689617103,0.7865938651081931
20,0.8441454167400609,0.5510332588230394,0.28767966813185164,0.8222429828847378,0.6167490478475107,0.3969012297276914
21,0.6889412591017288,0.4284220376451357,0.6023813471609168,0.7856282943153037,0.5487536622455413,0.07237035317156836
22,0.7684405414834631,0.39273406497902474,0.3721279082492809,0.786280259039512,0.47029784638105765,0.5416828921577299
23,0.6028242486353931,0.4835021887413712,0.46246823657776454,0.6743039249480614,0.5732879668527725,0.06769553288389876
24,0.4434506481988107,0.4600358610324897,0.44501447387068904,0.41703688412998535,0.589367769002603,0.645190499882202
25,0.7242167633681392,0.5909296770561704,0.3517408469302973,0.7439143977412559,0.6116623029369657,0.11958246109946405
26,0.8353621102169101,0.555607326075407,0.26391966577972265,0.7726849871005539,0.590873996268808,0.06419630703503143
27,0.8224127257387415,0.4808610392215284,0.29256539711921475,0.8075817951378481,0.6683249732483286,0.43375866081632114
28,0.6313017954481654,0.4839660922464313,0.3220691191173909,0.5608710446686884,0.6413605804654492,0.6351323053469684
29,0.7315542120906752,0.5742775485362714,0.3159573348048596,0.6442285334083449,0.6566109551997429,0.4776115907889962
30,0.6387787928521789,0.39628926360611944,0.5279785379350677,0.7289399528789446,0.5142629324627248,0.32271896079270024
31,0.7073231493552365,0.5223950751587906,0.3452060584099643,0.7307509158407935,0.6115827051521019,0.34566722160996954
32,0.5683597140197688,0.4505347827390992,0.3639532336603234,0.5310362383607241,0.5763430012562782,0.41116845734612584
33,0.544366099216778,0.6502785116083073,0.46269378254394244,0.6179395436909715,0.647282188198301,0.32783743407342086
34,0.5736575475299259,0.5138888707818628,0.31082114151048645,0.48590025638324885,0.5555463555147593,0.3432336731596538
35,0.507422805691758,0.6320856543400107,0.3348405120760262,0.4351542542895737,0.5071760948406034,0.19572567177423872
36,0.43105697033105744,0.5705958625968606,0.47646698104723434,0.3656090220912216,0.6360157276447965,0.688833901398294
37,0.6251807229309708,0.5802666799748547,0.34633530658919637,0.6254420827299774,0.6311233940175965,0.3660564074377171
38,0.5005642105627809,0.48020677732310507,0.6248973059900259,0.5687684941280113,0.638593105320213,0.4683511420981248
39,0.6777965450427251,0.4947922773818015,0.37328124088186077,0.6434666371126737,0.5812790097765288,0.2956431249410649
40,0.6346840389050559,0.47976979378512596,0.4057495427970901,0.5725689215493626,0.5443526354984138,0.5614951121609384
41,0.7257471436859346,0.42355941942158865,0.2696997922678349,0.6657220174532273,0.5101461201859427,0.5661417356200342
42,0.3468209514443537,0.5761464669902887,0.49209155570516927,0.33395858824298114,0.6995364222351853,0.8858225973733602
43,0.5102415974675376,0.6523658510964585,0.40741470819332,0.45979900158495574,0.7785666502573775,0.7534351824906974
44,0.6076841020941629,0.6284267522310237,0.384706064734164,0.6568325432415704,0.7443680752170807,0.2716710138732703
